ground_len,brown_glove50_perfect_mean,brown_glove50_jaccard_mean,brown_glove50_precision_mean,brown_glove50_recall_mean,brown_glove50_f1_mean,brown_glove100_perfect_mean,brown_glove100_jaccard_mean,brown_glove100_precision_mean,brown_glove100_recall_mean,brown_glove100_f1_mean,brown_glove200_perfect_mean,brown_glove200_jaccard_mean,brown_glove200_precision_mean,brown_glove200_recall_mean,brown_glove200_f1_mean,brown_glove300_perfect_mean,brown_glove300_jaccard_mean,brown_glove300_precision_mean,brown_glove300_recall_mean,brown_glove300_f1_mean,books_0_01_glove300_perfect_mean,books_0_01_glove300_jaccard_mean,books_0_01_glove300_precision_mean,books_0_01_glove300_recall_mean,books_0_01_glove300_f1_mean
77,0,0.087315705,0.159928152,0.159554731,0.159658563,0,0.14410625,0.225049094,0.282003711,0.250211653,0,0.19262022,0.28638653,0.367346939,0.321721473,0,0.209108484,0.303763109,0.398886827,0.344612661,0,0.302631579,0.422018349,0.516853933,0.464646465
78,0,0.121945873,0.217056587,0.21474359,0.215646926,0,0.152558398,0.237929053,0.294871795,0.263176082,0,0.226837249,0.333671116,0.407051282,0.366588018,0,0.270002742,0.384023041,0.471153846,0.422498268,0,0.27744511,0.397050147,0.472527473,0.431372549
79,0,0.138581924,0.242418778,0.240506329,0.241393881,0,0.206910791,0.307321157,0.382911392,0.340929372,0,0.231058028,0.335747308,0.420886076,0.373425017,0,0.26206045,0.364053856,0.477848101,0.41312839,0,0.239520958,0.347826087,0.434782609,0.38647343
80,0,0.127319088,0.224439854,0.225,0.22471349,0,0.161065134,0.244770634,0.315625,0.275533614,0,0.205212482,0.307967438,0.378125,0.33941844,0,0.256530598,0.360570832,0.465625,0.406231065,0,0.213483146,0.31147541,0.404255319,0.351851852
81,0,0.122349936,0.224878725,0.209876543,0.217082573,0,0.160773366,0.251262626,0.308641975,0.277010436,0,0.203786779,0.305654762,0.37654321,0.337251686,0,0.23895841,0.343337218,0.432098765,0.382582583,0,0.215116279,0.327433628,0.385416667,0.354066986
82,0,0.127621454,0.225471194,0.225609756,0.225366363,0,0.158748572,0.241150918,0.31402439,0.272679569,0,0.228682339,0.336338589,0.411585366,0.370110028,0,0.261314228,0.367789183,0.467987805,0.411672776,0,0.209424084,0.3125,0.388349515,0.346320346
83,0,0.116438356,0.2125,0.204819277,0.208588957,0,0.197368421,0.303030303,0.361445783,0.32967033,0,0.27027027,0.380952381,0.481927711,0.425531915,0,0.338235294,0.464646465,0.554216867,0.505494505,0,0.271428571,0.382550336,0.483050847,0.426966292
84,0,0.10261349,0.181641124,0.186507937,0.183958869,0,0.182715137,0.270743562,0.357142857,0.307764121,0,0.23576805,0.33968603,0.428571429,0.378936084,0,0.275628406,0.379768609,0.496031746,0.430093745,0,0.299107143,0.406060606,0.531746032,0.4604811
85,0,0.07243281,0.130799736,0.135294118,0.132995267,0,0.16413028,0.246858466,0.317647059,0.277793851,0,0.198284734,0.292284367,0.376470588,0.329019055,0,0.273213397,0.373024652,0.494117647,0.425114085,0,0.201646091,0.298780488,0.3828125,0.335616438
86,0,0.139391014,0.24448952,0.244186047,0.244329514,0,0.195906433,0.295509814,0.36627907,0.326818182,0,0.240658115,0.344062244,0.441860465,0.386874547,0,0.288403018,0.392940354,0.51744186,0.446625119,0,0.264227642,0.373563218,0.474452555,0.418006431
87,0,0.136363636,0.238636364,0.24137931,0.24,0,0.164705882,0.252252252,0.32183908,0.282828283,0,0.220125786,0.327102804,0.402298851,0.360824742,0,0.290322581,0.398230088,0.517241379,0.45,0,0.168350168,0.263157895,0.318471338,0.288184438
