"max_ground_len","brown_glove50_perfect","brown_glove50_jaccard","brown_glove50_precision","brown_glove50_recall","brown_glove50_f1","brown_glove100_perfect","brown_glove100_jaccard","brown_glove100_precision","brown_glove100_recall","brown_glove100_f1","brown_glove200_perfect","brown_glove200_jaccard","brown_glove200_precision","brown_glove200_recall","brown_glove200_f1","brown_glove300_perfect","brown_glove300_jaccard","brown_glove300_precision","brown_glove300_recall","brown_glove300_f1"
45,0.06515796990814844,0.17696163637916412,0.24307924871981604,0.27616592661959705,0.26714282163178127,0.2003004260139378,0.3814898982195941,0.44696790562549193,0.5372527106341616,0.4841323105843064,0.4627299367135364,0.6528204339715908,0.7080191144430389,0.7648285916180338,0.7326350388630382,0.7280652072200744,0.8498888174770675,0.88012261885233,0.9042201106322514,0.8908285017844355
46,0.06493729599725133,0.17673383714935254,0.24290360323050394,0.27590711786110683,0.2668901814030095,0.19962205806562447,0.3807524603165804,0.4462745823371049,0.5365460807477758,0.4834359404942357,0.46116278499030605,0.6514122851797187,0.7067534533331771,0.7637284135843396,0.7314394821489062,0.7256239723169804,0.8481066313021403,0.8785992079790579,0.9030090376045795,0.8894395807678708
47,0.06474661707490151,0.17653209679112866,0.24274760632135126,0.27567589756905586,0.2666658214764734,0.19903589693395649,0.38010087604826515,0.44565975849233824,0.5359124113326583,0.4828154083523962,0.4598086475640492,0.6501583445920376,0.70561551815146,0.7627259774239586,0.7303586634549502,0.7234932830890449,0.8465022877294851,0.8772114630119011,0.9018907389762371,0.8881671289647632
48,0.06457596095179988,0.17637939302033062,0.24264972765601678,0.2755131439321848,0.2665097096610274,0.19851128737034776,0.3795331377666785,0.4451295781439688,0.5353708362155399,0.4822825427655369,0.4585967053081147,0.649054234126555,0.7046174764029328,0.7618535087098209,0.7294136832405763,0.7215863331299572,0.845052507052562,0.8759567198421363,0.9008833149418397,0.8870182536143624
49,0.06439366284587866,0.17618911645624083,0.2425050988852776,0.2752941095688774,0.26629879073513246,0.19795088948918255,0.37893500800691565,0.44457380700321236,0.5348061126065422,0.48172537006915284,0.45730208561485486,0.647865978059037,0.7035447019662445,0.7609131491874733,0.7283967451734196,0.7195492930325376,0.8435050545057259,0.8746190349089875,0.8998082392824251,0.8857929342821853
50,0.06426697755756339,0.17606516164764177,0.2424150095795449,0.27515569455685274,0.26616479153868555,0.19756144952880597,0.3785241192345333,0.444194568339925,0.5344184876400326,0.4813445584473325,0.45640240940444965,0.6470342488574217,0.7027869988714676,0.7602541099111645,0.7276801778012295,0.7181336830855921,0.8424549530941615,0.8737166326590697,0.8990916244135366,0.8849700355992549
51,0.06413768028117804,0.175928226546017,0.2423114660108671,0.274996125518253,0.26601263210206444,0.19716398012362138,0.3780942239567494,0.44379408196236547,0.5340025221560246,0.4809396622698274,0.4554841837353048,0.6461792782124373,0.702011801694232,0.7595662999262767,0.7269418435081823,0.7166888861956127,0.8413366440024085,0.8727405238970177,0.8983050983139589,0.8840747677212273
52,0.06401819413529469,0.1757940451110599,0.2422024623808641,0.2748369619689751,0.26585908616844295,0.19679667086035033,0.3776804924848998,0.44340216971377755,0.5335939422427554,0.48054244877766245,0.45463563340752927,0.6453826840176671,0.7012877038688089,0.7589170993325364,0.7262496927058704,0.7153537210877771,0.8402881706682421,0.871822898756983,0.8975649316272934,0.8832324208323409
53,0.06392230758080882,0.17568440540297328,0.24210963660999743,0.2747065473627976,0.2657316443877413,0.19650190848915303,0.3773558444598584,0.44309928459124837,0.533275151307687,0.48023457259457314,0.45395467942213846,0.6447490709629919,0.7007121282819969,0.758407590804545,0.725702161811229,0.7142822631299222,0.8394462964726672,0.8710859086486352,0.8969658117268943,0.8825540643871569
54,0.06384826987114521,0.1756104228474836,0.24205633657424977,0.27462341494803294,0.265651927798879,0.19627431108537233,0.37710676527318404,0.4428676872206336,0.5330315045902803,0.47999911866514566,0.4534288885671541,0.6442683578566691,0.7002801545100941,0.7580242829082056,0.7252910767277038,0.7134549490854688,0.8388149027882494,0.8705412880439154,0.8965252426745659,0.882054007235251
55,0.06375442739079103,0.17551662631321255,0.2419898249244372,0.2745163639540629,0.2655505565395962,0.1959858323494687,0.37679462992942026,0.442577864676775,0.5327299620082981,0.4797060288104553,0.4527624509071633,0.643646296726774,0.6997185540970103,0.7575186583556948,0.724753704393501,0.7124063320723804,0.8380032843239205,0.8698372627021511,0.895956240131848,0.8814078534454983
56,0.06368537595070761,0.17545215971459538,0.24194804459224659,0.2744464013131054,0.2654842685692404,0.1957735631077308,0.37657117024339315,0.44237372435385247,0.5325191561313344,0.47950037724281647,0.452272070857803,0.6431940442622988,0.699309708274372,0.7571589423047862,0.7243656904367847,0.7116347357273515,0.8374077868559102,0.8693220139309558,0.8955368415166782,0.8809338735267789
57,0.06359201134369968,0.17536251923426777,0.2418900673487139,0.2743446815277158,0.2653901624885023,0.1954865533898916,0.37626326126278054,0.4420909854442804,0.5322212410354232,0.4792130637448766,0.45160902689322024,0.6425791449721866,0.698755414925446,0.7566619843497581,0.7238360234004414,0.7105914585786729,0.8365857720552885,0.8686050853007644,0.8949508593181771,0.8802728976537049
58,0.06354772083193237,0.1753224940512223,0.24186509119629512,0.2743001897776692,0.2653488306660979,0.19535040107594023,0.3761177774161551,0.44195615391605675,0.5320803733070792,0.4790765054195257,0.45129449060953936,0.6422895108329616,0.6984942864824721,0.7564269100154397,0.7235862199546265,0.7100965464239397,0.8362083029310751,0.8682791436090601,0.8946853080622068,0.8799730447430623
59,0.06349282526275375,0.17526594036549645,0.241823417617081,0.27423364680323087,0.26528611574047395,0.19518164802994672,0.37593370193367104,0.4417857365759611,0.5318989250875642,0.4789026389132087,0.4509046407832222,0.6419273153547859,0.6981685511310561,0.7561325954052356,0.7232742195435902,0.7094831309689494,0.8357282941441826,0.8678604334991366,0.8943476136275497,0.8795888330578863
60,0.06344867275735559,0.17523052061915398,0.2418066307128116,0.2741972119562424,0.2652532312941522,0.1950459199577968,0.37579770120677464,0.44166439769203836,0.5317736326906733,0.4787806125675573,0.45059108457425123,0.6416403019465606,0.6979100557566325,0.7559057249498706,0.7230291483559399,0.7089897609284703,0.8353462948480866,0.8675283152167738,0.8940813798443241,0.8792849046814103
61,0.06341369889277669,0.1751934611862943,0.2417787535556459,0.27415372030604096,0.26521199076933605,0.19493840770742463,0.3756809165283427,0.4415561388438649,0.5316608444198602,0.4786710429603494,0.45034271197814313,0.6414049168531859,0.697696768609612,0.7557126088394985,0.7228245317397641,0.7085989550879548,0.8350376947526368,0.8672606732306076,0.8938584594432682,0.8790366358537787
